year,purpose,model,type,district,size,value
2014,purpose,lorry,normal,Incheon,large,181.8
2014,purpose,lorry,normal,Gwangju,small,81.9
2014,purpose,lorry,normal,Gwangju,mid,115
2014,purpose,lorry,normal,Gwangju,large,206
2014,purpose,lorry,normal,Daejeon,small,90.1
2014,purpose,lorry,normal,Daejeon,mid,139.3
2014,purpose,lorry,normal,Daejeon,large,200.3
2014,purpose,lorry,normal,Ulsan,small,69.8
2014,purpose,lorry,normal,Ulsan,mid,96
2014,purpose,lorry,normal,Ulsan,large,192.6
2015,non-purpose,saloon,normal,Seoul,light,23.3
2015,non-purpose,saloon,normal,Seoul,small,19.2
2015,non-purpose,saloon,normal,Seoul,mid,27.8
2015,non-purpose,saloon,normal,Seoul,large,32.1
2015,non-purpose,saloon,normal,Busan,light,24.4
2015,non-purpose,saloon,normal,Busan,small,21.3
2015,non-purpose,saloon,normal,Busan,mid,30.7
2015,non-purpose,saloon,normal,Busan,large,35.6
2015,non-purpose,saloon,normal,Daegu,light,22.8
2015,non-purpose,saloon,normal,Daegu,small,20.7
2015,non-purpose,saloon,normal,Daegu,mid,31.1
2015,non-purpose,saloon,normal,Daegu,large,37.3
2015,non-purpose,saloon,normal,Incheon,light,23.9
2015,non-purpose,saloon,normal,Incheon,small,21.1
2015,non-purpose,saloon,normal,Incheon,mid,31.1
2015,non-purpose,saloon,normal,Incheon,large,37.5
2015,non-purpose,saloon,normal,Gwangju,light,23.1
2015,non-purpose,saloon,normal,Gwangju,small,22.3
2015,non-purpose,saloon,normal,Gwangju,mid,32.3
2015,non-purpose,saloon,normal,Gwangju,large,38.6
2015,non-purpose,saloon,normal,Daejeon,light,22.6
2015,non-purpose,saloon,normal,Daejeon,small,21.2
2015,non-purpose,saloon,normal,Daejeon,mid,31.4
2015,non-purpose,saloon,normal,Daejeon,large,37.2
2015,non-purpose,saloon,normal,Ulsan,light,23.3
2015,non-purpose,saloon,normal,Ulsan,small,22.1
2015,non-purpose,saloon,normal,Ulsan,mid,30.8
2015,non-purpose,saloon,normal,Ulsan,large,35.8
2015,non-purpose,saloon,multipurpose,Seoul,mid,35.2
2015,non-purpose,saloon,multipurpose,Seoul,large,36.6
2015,non-purpose,saloon,multipurpose,Busan,mid,37.9
2015,non-purpose,saloon,multipurpose,Busan,large,38.5
2015,non-purpose,saloon,multipurpose,Daegu,mid,38.8
2015,non-purpose,saloon,multipurpose,Daegu,large,40.6
2015,non-purpose,saloon,multipurpose,Incheon,mid,37.4
2015,non-purpose,saloon,multipurpose,Incheon,large,38.8
2015,non-purpose,saloon,multipurpose,Gwangju,mid,39.2
2015,non-purpose,saloon,multipurpose,Gwangju,large,40.5
2015,non-purpose,saloon,multipurpose,Daejeon,mid,39.1
2015,non-purpose,saloon,multipurpose,Daejeon,large,39.9
2015,non-purpose,saloon,multipurpose,Ulsan,mid,36.3
2015,non-purpose,saloon,multipurpose,Ulsan,large,37.6
2015,non-purpose,van,normal,Seoul,small,34.5
2015,non-purpose,van,normal,Seoul,mid,37.7
2015,non-purpose,van,normal,Seoul,large,49.3
2015,non-purpose,van,normal,Busan,small,37.9
2015,non-purpose,van,normal,Busan,mid,38.4
2015,non-purpose,van,normal,Busan,large,55.1
2015,non-purpose,van,normal,Daegu,small,33.3
2015,non-purpose,van,normal,Daegu,mid,38.3
2015,non-purpose,van,normal,Daegu,large,48.3
2015,non-purpose,van,normal,Incheon,small,34.6
2015,non-purpose,van,normal,Incheon,mid,39.1
2015,non-purpose,van,normal,Incheon,large,45.5
2015,non-purpose,van,normal,Gwangju,small,34.8
2015,non-purpose,van,normal,Gwangju,mid,39.7
2015,non-purpose,van,normal,Gwangju,large,55.2
2015,non-purpose,van,normal,Daejeon,small,34
2015,non-purpose,van,normal,Daejeon,mid,40.1
2015,non-purpose,van,normal,Daejeon,large,43.5
2015,non-purpose,van,normal,Ulsan,small,34.5
2015,non-purpose,van,normal,Ulsan,mid,37.7
2015,non-purpose,van,normal,Ulsan,large,58.3
2015,non-purpose,lorry,normal,Seoul,small,45.5
2015,non-purpose,lorry,normal,Seoul,mid,42.8
2015,non-purpose,lorry,normal,Seoul,large,66.7
2015,non-purpose,lorry,normal,Busan,small,45
2015,non-purpose,lorry,normal,Busan,mid,42.1
2015,non-purpose,lorry,normal,Busan,large,57
2015,non-purpose,lorry,normal,Daegu,small,46.1
2015,non-purpose,lorry,normal,Daegu,mid,47.4
2015,non-purpose,lorry,normal,Daegu,large,64.1
2015,non-purpose,lorry,normal,Incheon,small,44.5
2015,non-purpose,lorry,normal,Incheon,mid,41.8
2015,non-purpose,lorry,normal,Incheon,large,60.3
2015,non-purpose,lorry,normal,Gwangju,small,45.8
2015,non-purpose,lorry,normal,Gwangju,mid,41.5
2015,non-purpose,lorry,normal,Gwangju,large,52
2015,non-purpose,lorry,normal,Daejeon,small,45.4
